Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A survey of adaptive sampling for global metamodeling in support of simulation-based complex engineering design","Structural and Multidisciplinary Optimization","","57","1","10.1007/s00158-017-1739-8","Haitao LiuYew-Soon OngJianfei Cai","2018","http://link.springer.com/article/10.1007/s00158-017-1739-8","Article"
"Metamodeling-based simulation optimization in manufacturing problems: a comparative study","The International Journal of Advanced Manufacturing Technology","","120","7 - 8","10.1007/s00170-022-09072-9","João Victor Soares do AmaralRafael de Carvalho MirandaJosé Arnaldo Barra MontevechiCarlos Henrique dos SantosGustavo Teodoro Gabriel","2022","http://link.springer.com/article/10.1007/s00170-022-09072-9","Article"
"An output mapping variable fidelity metamodeling approach based on nested Latin hypercube design for complex engineering design optimization","Applied Intelligence","","48","10","10.1007/s10489-018-1164-8","Jun Zheng","2018","http://link.springer.com/article/10.1007/s10489-018-1164-8","Article"
"Comparative study of HDMRs and other popular metamodeling techniques for high dimensional problems","Structural and Multidisciplinary Optimization","","59","1","10.1007/s00158-018-2046-8","Liming ChenHu WangFan YeWei Hu","2019","http://link.springer.com/article/10.1007/s00158-018-2046-8","Article"
"Directional Grid-Based Search for Simulation Metamodeling Using Active Learning","Intelligent Transport Systems. From Research and Development to the Market Uptake","","","","10.1007/978-3-030-38822-5_3","Francisco AntunesFrancisco PereiraBernardete Ribeiro","2020","http://link.springer.com/chapter/10.1007/978-3-030-38822-5_3","Chapter"
"Reifying Concurrency for Executable Metamodeling","Software Language Engineering","","","","10.1007/978-3-319-02654-1_20","Benoît CombemaleJulien De AntoniMatias Vara LarsenFrédéric MalletOlivier BaraisBenoit BaudryRobert B. France","2013","http://link.springer.com/chapter/10.1007/978-3-319-02654-1_20","Chapter"
"Deep learning-based efficient metamodeling via domain knowledge-integrated designable data augmentation with transfer learning: application to vehicle crash safety","Structural and Multidisciplinary Optimization","","65","7","10.1007/s00158-022-03290-1","Yeongmin YooChang-Kyu ParkJongsoo Lee","2022","http://link.springer.com/article/10.1007/s00158-022-03290-1","Article"
"Evaluating the Effectiveness of Metamodeling in Emulating Quantitative Models","Quantitative Evaluation of Systems","","","","10.1007/978-3-030-85172-9_7","Michael RauschWilliam H. Sanders","2021","http://link.springer.com/chapter/10.1007/978-3-030-85172-9_7","Chapter"
"A Web-Based Collaborative Metamodeling Environment with Secure Remote Model Access","Web Engineering","","","","10.1007/978-3-642-13911-6_19","Matthias FarwickBerthold AgreiterJules WhiteSimon ForsterNorbert LanzanastoRuth Breu","2010","http://link.springer.com/chapter/10.1007/978-3-642-13911-6_19","Chapter"
"A Tutorial Introduction to Graphical Modeling and Metamodeling with CINCO","Leveraging Applications of Formal Methods, Verification and Validation. Modeling","","","","10.1007/978-3-030-03418-4_31","Michael LybecaitDawid KopetzkiPhilip ZweihoffAnnika FuhgeStefan NaujokatBernhard Steffen","2018","http://link.springer.com/chapter/10.1007/978-3-030-03418-4_31","Chapter"
"Bridging the Chasm between Executable Metamodeling and Models of Computation","Software Language Engineering","","","","10.1007/978-3-642-36089-3_11","Benoît CombemaleCécile HardebolleChristophe JacquetFrédéric BoulangerBenoit Baudry","2013","http://link.springer.com/chapter/10.1007/978-3-642-36089-3_11","Chapter"
"Classifying Metamodeling Methods for Evolutionary Multi-objective Optimization: First Results","Evolutionary Multi-Criterion Optimization","","","","10.1007/978-3-319-54157-0_12","Kalyanmoy DebRayan HusseinProteek RoyGregorio Toscano","2017","http://link.springer.com/chapter/10.1007/978-3-319-54157-0_12","Chapter"
"TemporalEMF: A Temporal Metamodeling Framework","Conceptual Modeling","","","","10.1007/978-3-030-00847-5_26","Abel GómezJordi CabotManuel Wimmer","2018","http://link.springer.com/chapter/10.1007/978-3-030-00847-5_26","Chapter"
"Towards a Metamodeling Based Method for Representing and Selecting Grid Services","Grid Services Engineering and Management","","","","10.1007/978-3-540-30190-5_6","Sergio AndreozziPaolo CiancariniDanilo MontesiRocco Moretti","2004","http://link.springer.com/chapter/10.1007/978-3-540-30190-5_6","Chapter"
"Simplifying OMG MOF-Based Metamodeling","Leveraging Applications of Formal Methods, Verification and Validation: Discussion, Dissemination, Applications","","","","10.1007/978-3-319-47169-3_8","Nicolas F. Rouquette","2016","http://link.springer.com/chapter/10.1007/978-3-319-47169-3_8","Chapter"
"Comparison of metamodeling techniques in evolutionary algorithms","Soft Computing","","21","19","10.1007/s00500-016-2140-z","Alan Díaz-ManríquezGregorio ToscanoCarlos A. Coello Coello","2017","http://link.springer.com/article/10.1007/s00500-016-2140-z","Article"
