Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Human Readable Platform Independent Domain Specific Language for BPEL","Networked Digital Technologies","","","","10.1007/978-3-642-14292-5_55","Balazs SimonBalazs GoldschmidtKaroly Kondorosi","2010","http://link.springer.com/chapter/10.1007/978-3-642-14292-5_55","Chapter"
"OpenABL: A Domain-Specific Language for Parallel and Distributed Agent-Based Simulations","Euro-Par 2018: Parallel Processing","","","","10.1007/978-3-319-96983-1_36","Biagio CosenzaNikita PopovBen JuurlinkPaul RichmondMozhgan Kabiri ChimehCarmine SpagnuoloGennaro CordascoVittorio Scarano","2018","http://link.springer.com/chapter/10.1007/978-3-319-96983-1_36","Chapter"
"ARSL: A Domain Specific Language for Aircraft Separation Minima Determination","Computer Applications for Software Engineering, Disaster Recovery, and Business Continuity","","","","10.1007/978-3-642-35267-6_11","Sakon SinlapalunYachai Limpiyakorn","2012","http://link.springer.com/chapter/10.1007/978-3-642-35267-6_11","Chapter"
"RAIL: A Domain-Specific Language for Generating NPC Behaviors in Action/Adventure Game","Advances in Computer Entertainment Technology","","","","10.1007/978-3-319-76270-8_58","Meng ZhuAlf Inge Wang","2018","http://link.springer.com/chapter/10.1007/978-3-319-76270-8_58","Chapter"
"Design of Domain Specific Language for Web Services QoS Constraints Definition","Information Technology and Mobile Communication","","","","10.1007/978-3-642-20573-6_73","Monika Sikri","2011","http://link.springer.com/chapter/10.1007/978-3-642-20573-6_73","Chapter"
"A Domain Specific Language to Simplify the Creation of Large Scale Federated Model Sets","Environmental Software Systems. Computer Science for Environmental Protection","","","","10.1007/978-3-319-89935-0_35","Zachary T. ReinhartSunil SuramKenneth M. Bryden","2017","http://link.springer.com/chapter/10.1007/978-3-319-89935-0_35","Chapter"
"A Domain Specific Language for Orchestrating User Tasks Whilst Navigation Web Sites","Web Engineering","","","","10.1007/978-3-642-39200-9_20","Sérgio FirmenichGustavo RossiMarco Winckler","2013","http://link.springer.com/chapter/10.1007/978-3-642-39200-9_20","Chapter"
"Architecture Based on Keyword Driven Testing with Domain Specific Language for a Testing System","Testing Software and Systems","","","","10.1007/978-3-030-64881-7_21","Ricardo B. PereiraMiguel A. BritoRicardo J. Machado","2020","http://link.springer.com/chapter/10.1007/978-3-030-64881-7_21","Chapter"
"RAPL: A Domain Specific Language for Resource Allocation of Indivisible Goods","Information and Communication Technologies","","","","10.1007/978-3-030-62833-8_35","Israel PinedaCristopher ZhunioFranklin CamachoRigoberto Fonseca-Delgado","2020","http://link.springer.com/chapter/10.1007/978-3-030-62833-8_35","Chapter"
"Using a Domain-Specific Language to Enrich ETL Schemas","New Trends in Databases and Information Systems","","","","10.1007/978-3-319-23201-0_4","Orlando BeloClaudia GomesBruno OliveiraRicardo MarquesVasco Santos","2015","http://link.springer.com/chapter/10.1007/978-3-319-23201-0_4","Chapter"
